commodity,day,hour,month,region,supply,timeslice,units_prices,year
electricity,all-week,early-morning,all-year,R1,1.15730000000,6,MUS$2010/PJ,2036
gas,all-week,early-morning,all-year,R1,1.53480000000,6,MUS$2010/PJ,2036
heat,all-week,early-morning,all-year,R1,2.89330000000,6,MUS$2010/PJ,2036
CO2f,all-week,early-morning,all-year,R1,84.25010000000,6,MUS$2010/kt,2036
electricity,all-week,late-afternoon,all-year,R1,1.15730000000,7,MUS$2010/PJ,2036
gas,all-week,late-afternoon,all-year,R1,1.53480000000,7,MUS$2010/PJ,2036
heat,all-week,late-afternoon,all-year,R1,2.89330000000,7,MUS$2010/PJ,2036
CO2f,all-week,late-afternoon,all-year,R1,84.25010000000,7,MUS$2010/kt,2036
electricity,all-week,night,all-year,R1,0.61600000000,0,MUS$2010/PJ,2038
gas,all-week,night,all-year,R1,0.77150000000,0,MUS$2010/PJ,2038
heat,all-week,night,all-year,R1,1.54000000000,0,MUS$2010/PJ,2038
CO2f,all-week,night,all-year,R1,42.35150000000,0,MUS$2010/kt,2038
electricity,all-week,morning,all-year,R1,0.88000000000,1,MUS$2010/PJ,2038
gas,all-week,morning,all-year,R1,1.10220000000,1,MUS$2010/PJ,2038
heat,all-week,morning,all-year,R1,2.20000000000,1,MUS$2010/PJ,2038
CO2f,all-week,morning,all-year,R1,60.50220000000,1,MUS$2010/kt,2038
electricity,all-week,mid-afternoon,all-year,R1,0.61600000000,2,MUS$2010/PJ,2038
gas,all-week,mid-afternoon,all-year,R1,0.77150000000,2,MUS$2010/PJ,2038
heat,all-week,mid-afternoon,all-year,R1,1.54000000000,2,MUS$2010/PJ,2038
CO2f,all-week,mid-afternoon,all-year,R1,42.35150000000,2,MUS$2010/kt,2038
electricity,all-week,early-peak,all-year,R1,0.88000000000,3,MUS$2010/PJ,2038
gas,all-week,early-peak,all-year,R1,1.10220000000,3,MUS$2010/PJ,2038
heat,all-week,early-peak,all-year,R1,2.20000000000,3,MUS$2010/PJ,2038
CO2f,all-week,early-peak,all-year,R1,60.50220000000,3,MUS$2010/kt,2038
